Solution Name,Description,Job Levels,Languages,Assessment Length
ExpressJS (New),"Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS","Mid-Professional, Professional Individual Contributor",English (USA),7
Filing - Names (R1),This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized names and one is blank. The test taker is required to select the name from a list that belongs on the blank tab,Entry-Level,English (USA),3
Filing - Numbers,"This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is blank, and all are sorted in numeric order. The test taker is required to select the number from a list that belongs on the blank tab",Entry-Level,English (USA),3
Financial Accounting (New),"Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),9
Financial and Banking Services (New),"Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),9
Fire Engineering (New),"Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10
Following Instructions v1 - UK (R1),This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor",English International,8
Following Instructions v1 - US (R2),This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Test takers are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor",English (USA),8
Food and Beverage Services (New),"Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),7
Food Science (New),"Multi-choice test that measures the knowledge of food chemistry, nutrition, food microbiology, food engineering and food product technology","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),6
Front Office Management (New),Multi-choice test that measures the knowledge of front office operations,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),7
Fundamentals of Chemistry (New),"Multi-choice test that measures the knowledge of physical chemistry, inorganic chemistry and organic chemistry","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8
Fundamentals of Physics (New),"Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8
General Diseases (New),"Multi-choice test that measures the knowledge of common diseases of ear, nose, throat and teeth, their symptoms, drugs used to treat them and various drugs used to relieve pain","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),5
Geoinformatics Engineering (New),"Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and drilling Engineering","Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level, Graduate",English (USA),10
Geoscience Engineering (New),"Multi-choice test that measures the knowledge of exploration geology, soil mechanics, rock mechanics, geophysical investigation, geological surveying","Mid-Professional, Professional Individual Contributor, Graduate",English (USA),8
GIT (New),Multi-choice test that measures the knowledge of how to use GIT for version control,"Mid-Professional, Professional Individual Contributor",English (USA),13
Global Skills Assessment,The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most discrete level of SHL’s Universal Competency Framework (UCF). The GSA measures self-reported behaviors an individual currently engages in. A person’s skills (sets of behavior) are malleable and may change over time. SHL utilizes GSA scores to understand what the participant reports they can do today,N/A,"Indonesian, Italian, Swedish, Thai, Portuguese (Brazil), French (Canada), Chinese Simplified, Danish, Finnish, French, German, English International, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Romanian, Spanish, Vietnamese, Chinese Traditional, Arabic, English (USA), Dutch, Portuguese, Turkish",16
Graduate Scenarios,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Graduate Scenarios Narrative Report:  A participant focused report that contains;  
 - Graduate Scenarios profile
 - Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management.

Graduate Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades","Manager, Mid-Professional, Professional Individual Contributor, Graduate",English International,Approximate Completion Time in minutes = Untimed
Graduate Scenarios Narrative Report,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. 

Reports available: 

Graduate Scenarios Narrative Report: A participant focused report that contains; 
- Graduate Scenarios profile 
- Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. 

Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades","Mid-Professional, Professional Individual Contributor, Manager, Graduate",N/A,N/A
Graduate Scenarios Profile Report,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. 

Reports available: 

Graduate Scenarios Narrative Report: A participant focused report that contains; 
- Graduate Scenarios profile 
- Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. 

Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades","Graduate, Manager, Mid-Professional, Professional Individual Contributor",N/A,N/A
Hibernate (New),"Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL)","Mid-Professional, Professional Individual Contributor",English (USA),5
HIPAA (Security),"The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to HIPAA. Designed for healthcare professionals and concentrating on nontechnical as well as technical aspects of the HIPAA Standards for Security and Electronic Signatures, this test covers the following topics: Computer Mechanisms, Computer Models, General Knowledge, Implementation, Medical Records, Organization, Security Basics, and Setup","Front Line Manager, Manager",English (USA),15
HiPo Assessment Report 1.0,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development",N/A,N/A,N/A
HiPo Assessment Report 2.0,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This report equips organizations with data-driven insights for identifying and developing future leaders, helping to ensure long-term organizational success",N/A,N/A,N/A
HiPo Unlocking Potential Report 2.0,"This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial and leadership potential",N/A,N/A,N/A
Housekeeping (New),"Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks","Entry-Level, Front Line Manager, Supervisor",English (USA),7
HTML/CSS (New),Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it,"Mid-Professional, Professional Individual Contributor",English (USA),12
HTML5 (New),Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface,"Mid-Professional, Professional Individual Contributor",English (USA),11
Human Resources (New),"Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal, compensation management, etc. It also evaluates the candidate’s understanding of organizational behavior in different organizational structures","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),8
IBM DataStage (New),"Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director","Mid-Professional, Professional Individual Contributor",English (USA),15
IBM Sterling Order Management System (New),"Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc","Mid-Professional, Professional Individual Contributor",English (USA),13
Industrial Engineering (New),"Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),9
Informatica (Architecture) (New),"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica","Mid-Professional, Professional Individual Contributor",English (USA),10
Informatica (Developer) (New),"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica","Mid-Professional, Professional Individual Contributor",English (USA),11
Instrumentation Engineering (New),"Multi-choice test that measures the conceptual knowledge of instrumentation, electronics, signals and communication systems","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12
Interpersonal Communications,"This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts. It is designed for all professionals and covers the following topics: Communication and Perception, Group Communication and Teamwork, Intercultural Communication, Interpersonal Communication, Interviewing and Communication, Intrapersonal Communication, Listening, Nonverbal Communication, Technology in Communication, Verbal Communication, and Language","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),15
Interviewing and Hiring Concepts (U.S.),"The Interviewing and Hiring Concepts (U.S.) test measures knowledge of the interviewing  and hiring process. Designed for all employees and hiring managers, this test covers the following topics: Behavior Traits, Behavioral Interviewing, Candidate Fit, Interview Quality Control, Job Analysis, Legal Compliance, Probing Skills, Screening, Situational Interviews, and Types of Interviews","Front Line Manager, Manager",English (USA),15
iOS Development (New),"Multi-choice test that measures the knowledge of Objective C, NSObject, iOS fundamentals and UI design on iOS phones","Mid-Professional, Professional Individual Contributor",English (USA),7
ITIL (IT Infrastructure Library) (New),"Multi-choice test that measures the knowledge of capacity management, change management and problem management","Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),8
Java 2 Platform Enterprise Edition 1.4 Fundamental,"The Java 2 Platform Enterprise Edition (J2EE) 1.4 Fundamentals test measures knowledge of basic J2EE 1.4 Fundamentals. Designed for entry-level users, this test covers the following topics: Business Component Development, J2EE 1.4 Architecture, JAX 1.2, JDBC 3.0, Supporting API, Web Component Development, and Web Service Development","Entry-Level, Mid-Professional, Professional Individual Contributor",English (USA),30
Java 8 (New),"Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals","Mid-Professional, Professional Individual Contributor",English (USA),18
Java Design Patterns (New),Multi-choice test that measures the knowledge of the types of design patterns in Java and principles like threads and refactoring used in Java design patterns,"Mid-Professional, Professional Individual Contributor",English (USA),5
Java Frameworks (New),"Multi-choice test that measures the knowledge of different Java frameworks - Struts, Hibernate and Spring","Mid-Professional, Professional Individual Contributor",English (USA),17
Java Platform Enterprise Edition 7 (Java EE 7),"The Java Platform Enterprise Edition 7 (Java EE 7) test measures knowledge of the Java EE 7 architecture. Designed for Java programmers and architects, this test includes the following topics: Commonly-Used APIs, Component Technology, Database Access, JEE Application Architecture, JSP Extensions, Resource Management, Web Services, Webapp Control and View Technologies, and Webapp Technology","Mid-Professional, Professional Individual Contributor",English (USA),30
Java Web Services (New),"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generics and inner class","Mid-Professional, Professional Individual Contributor",English (USA),8
JavaScript (New),Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development,"Mid-Professional, Professional Individual Contributor",English (USA),9
Jenkins (New),"Multi-choice test that measures the knowledge of Jenkins configuration and deployment, plugins, nodes, build jobs and testing","Mid-Professional, Professional Individual Contributor",English (USA),6
Job Control Language (New),"Multi-choice test that measures the knowledge of JCL libraries, parameters, statements, datasets, generation of data groups and conditional processing","Mid-Professional, Professional Individual Contributor",English (USA),10
jQuery (New),"Multi-choice test that measures the knowledge of jQuery events and effects, jQuery animation, UI, references, and using jQuery with AJAX","Mid-Professional, Professional Individual Contributor",English (USA),10
Kubernetes (New),"Multi-choice test that measures the knowledge of the architecture, cluster and services of Kubernetes","Mid-Professional, Professional Individual Contributor",English (USA),6
Linux Administration (New),Multi-choice test that measures knowledge of the Linux operating system and its application in system administration and network administration,"Mid-Professional, Professional Individual Contributor",English (USA),10
Linux Operating System,"Multi-choice test that measures the knowledge of Linux system, command line, filesystem, memory management, and process management","Entry-Level, General Population, Graduate, Professional Individual Contributor",English (USA),15
Linux Programming (General),"The Linux Programming (General) test measures knowledge of programming in a Linux environment. Designed for experienced programmers, this test covers the following topics: AutoConf/AutoMake, Makefiles, C Programming, C++, Debugging Programs, Linux Programming Concepts, Platform Independence, Revision Control, RPC/CORBA, and X Programming","Mid-Professional, Professional Individual Contributor",English (USA),25
Load Runner (New),"Multi-choice test that measures the knowledge on the concepts of Load Runner architecture & installation, virtual user generator (VUGEN), controller, monitoring scenario and result analysis","Mid-Professional, Professional Individual Contributor",English (USA),6
Management Scenarios,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor","Italian, English International, Korean, Arabic",Approximate Completion Time in minutes = Untimed
Managerial Scenarios Candidate Report,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",N/A,N/A
Managerial Scenarios Narrative Report,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",N/A,N/A
Managerial Scenarios Profile Report,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",N/A,N/A
Manual Testing (New),"Multi-choice test that measures the knowledge of the software testing life cycle, testing tools and techniques, design of test cases and generation of test reports","Mid-Professional, Professional Individual Contributor",English (USA),10
Manufac. & Indust. - Mechanical & Vigilance 8.0,"The Manufacturing & Industrial Mechanical & Vigilance Focus 8.0 Job-Focused Assessment 
measures the behaviors that underlie successful and safe performance in an 
industrial/manufacturing setting. This solution assesses process monitoring, mechanical 
comprehension and other foundational behaviors including behaving safely in the workplace; 
applying domain-related expertise; offering practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Assemblers and Fitters, Maintenance/Repair Workers, Surveillance, and Quality Assurance 
Workers","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor",English (USA),49
Manufac. & Indust. - Safety & Dependability 8.0,"The Manufacturing & Industrial Safety & Dependability Focus 8.0 Job-Focused Assessment 
measures the behaviors that underlie safe performance in a work setting. This solution 
assesses foundational behaviors including behaving safely in the workplace; complying with 
rules and regulations; applying domain-related expertise; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Laborers/Warehouse Workers, Assemblers & Fitters, Maintenance/Repair Workers, 
Dispatchers, Surveillance, Quality Assurance Workers, Material Handlers, and Truck/Ship 
Loaders","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor","English (USA), German, Latin American Spanish, French, English International, Chinese Simplified, Italian, Japanese",16
Manufacturing & Industrial - Essential Focus 8.0,"The Manufacturing & Industrial Essential 8.0 Job-Focused Assessment measures the behaviors 
that underlie successful and safe performance in an industrial/manufacturing setting. This 
solution assesses foundational behaviors including behaving safely in the workplace; applying 
domain-related expertise; offering practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machining and Equipment Operators, 
Laborer/Warehouse, Assemblers and Fitters, Maintenance/Repair Workers, Dispatchers, 
Surveillance, Quality Assurance Workers, Material Handlers, and Truck/Ship Loaders","Mid-Professional, Professional Individual Contributor, Entry-Level, Graduate, Manager","English International, French, English (USA), Chinese Simplified, Italian, Japanese, Latin American Spanish, German",16
Manufacturing & Industrial - Mechanical Focus 8.0,"The Manufacturing & Industrial Mechanical Focus 8.0 Job-Focused Assessment measures the 
behaviors that underlie successful and safe performance in an industrial/manufacturing 
setting. This solution assesses mechanical comprehension and other foundational behaviors 
including behaving safely in the workplace; applying domain-related expertise; offering 
practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Assemblers and Fitters, and Maintenance/Repair Workers","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor","English (USA), English International, Italian, Japanese, Latin American Spanish, Chinese Simplified",31
Manufacturing & Industrial - Vigilance Focus 8.0,"The Manufacturing and Industrial Vigilance Focus 8.0 Job-Focused Assessment measures the 
behaviors that underlie successful and safe performance in an industrial/manufacturing 
setting. This solution assesses process monitoring and other foundational behaviors including 
behaving safely in the workplace; applying domain-related expertise; offering practical 
solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Assemblers & Fitters, Maintenance/ Repair Workers, Dispatchers, Surveillance, Quality 
Assurance Workers","Entry-Level, Mid-Professional, Professional Individual Contributor, Graduate, Manager",English (USA),34
Marketing (New),"Multi-choice test that measures the conceptual knowledge of marketing principles, market research, consumer behavior, brand management, sales management, channel management and advertisement management","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),9
Maven (New),"Multi-choice test that measures the knowledge of Maven installation, dependencies, Project Object Model (POM), builds and plugins","Mid-Professional, Professional Individual Contributor",English (USA),7
Mechanical Engineering (New),"Multi-choice test that measures the conceptual knowledge of fluid and machine mechanics, thermodynamics, IC engines and manufacturing science","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),7
Mechatronics Engineering (New),"Multi-choice test that measures the knowledge related to basic mechatronics systems, components, sensors, feedback devices, control elements, actuators, computational elements and application of mechatronic systems","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),19
Medical Terminology (New),"Multi-choice test that measures the knowledge of different medical terms and abbreviations related to the human body, diseases and diagnosis","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),3
Metallurgical Engineering (New),"Multi-choice test that measures the knowledge of process metallurgy, industrial metallurgy and physical metallurgy","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),10
MFS 360 Enterprise Leadership Report,"The layout of this report follows the standard MFS 360 report but this is based on the Enterprise Leadership competency model, not the UCF model. The report text has been updated as well to reflect that",N/A,N/A,N/A
MFS 360 UCF Group Report,"This report follows the standard layout of the 360 report but incorporates the average scores for a group of participants. The report can be generated for all participants on a project, or a dedicated group can be created in MFS for a group that includes participants across multiple projects. The report does not include the open questions even when they were part of the questionnaire. Developments tips are not available in this report",N/A,N/A,N/A
MFS 360 UCF Performance Potential Dev Tips Report,"This report is more or less identical to the standard MFS report but with an additional section that looks at the performance versus the potential and plots the competencies on a four field grid to identify developed strengths, natural strengths, development need, or untapped potential.  The report text has been updated to reflect the inclusion of the OPQ, and the potential is also shown in the competency summary part of the report. The OPQ scores that feed into this report will need to be uploaded into MFS using an upload sheet based on a score extract from SODA or TC. This particular example report also includes development tips which are an optional extra",N/A,N/A,N/A
MFS 360 UCF Standard Report,"This is the default MFS report. It is based on the UCF20 competency model. The report will only show those scales that were selected as part of the questionnaire setup. The importance rating, open questions and multiple choice questions are optional parts of the questionnaire. Only if those parts were added to the questionnaire will they show in the report. Open and multiple Choice questions are of the clients’ own design. The example report here does not include developments tips, but those can be added if requested (see performance and potential report for examples of that)",N/A,N/A,N/A
Micro Focus Unified Functional Testing (New),Multi-choice test that measures the knowledge of automation testing using the QTP tool,"Mid-Professional, Professional Individual Contributor",English (USA),12
Microservices (New),"Multi-choice test that measures the knowledge of Microservices architecture, SOA, and Microservices patterns","Mid-Professional, Professional Individual Contributor",English (USA),7
Microsoft Dynamics Development (New),"Multi-choice test that measures the knowledge of Microsoft Dynamics installation, sales process, service management, administration, configuration, entity model, workflows, dialogs, solutions, CRM web services and plugins","Mid-Professional, Professional Individual Contributor",English (USA),9
Microsoft Excel 365 - Essentials (New),"The Microsoft Excel 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks",Entry-Level,English (USA),30
Microsoft Excel 365 (New),"The Microsoft Excel 365 simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks",Entry-Level,English (USA),35
Microsoft Outlook 2013 (adaptive),"The Microsoft Outlook 2013 (adaptive) test measures knowledge of Microsoft Outlook 2013. Designed for professionals, this test includes the following topics: Application Management, Contacts and Address Books, Mail Management, Messages and Message Organization, Notes, Printing, Schedules and Calendars, Security, and Tasks","Mid-Professional, Professional Individual Contributor",English (USA),25
Microsoft PowerPoint 365 - Essentials (New),"The Microsoft PowerPoint 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft PowerPoint, and includes the following topics: Applying Transitions and Animations, Creating, Managing, and Saving Presentations, Formatting Presentation Content, Reviewing, Collaborating, and Delivering Presentations, and Working with Multimedia Elements, Images, and Illustrations",Entry-Level,English (USA),25
Microsoft SQL Server 2014 Programming,"The Microsoft SQL Server 2014 Programming test measures knowledge of Microsoft Structure Query Language (SQL) Server 2014 Programming. Designed for experienced database programmers, this test covers the following topics: Beyond Relational, Control Flow, Data Types and NULL, Database Design, Developer Tools, Modifying Data, Running Queries, and Writing Queries","Mid-Professional, Professional Individual Contributor",English (USA),35
Microsoft Windows Server 2012 Administration,"The Microsoft Windows Server 2012 Administration test measures knowledge of Windows Server Administration. Designed for experienced Network Administrators, this test includes the following topics: Active Directory, Administrative Tasks, Computer Properties, Configuration and Management, Design and Installation, Local Security Policy, Networking, Security, and Server Management","Mid-Professional, Professional Individual Contributor",English (USA),35
Microsoft Word 365 - Essentials (New),"The Microsoft Word 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents",Entry-Level,English (USA),25
Microsoft Word 365 (New),"The Microsoft Word 365 simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents",Entry-Level,English (USA),35
Mineral Engineering (New),"Multi-choice test that measures the knowledge of comminution and classification, physical separation process, particle technology, metallurgical thermodynamics, mineralogy, petrology and stratigraphy","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),12
