Solution Name,Remote Testing,Adaptive/IRT,Test Type,PDF Paths
Entry Level Hotel Front Desk Solution,Yes,No,C P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Hotel_Front_Desk_-_Detailed_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Hotel_Front_Desk_-_Development_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Hotel_Front_Desk_-_Interview_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_-_SHL_Entry_Level_Hotel_Front_Desk_Solution.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_-_SHL_Entry_Level_Hotel_Front_Desk_Solution_CHS.pdf
Entry Level Sales Solution,Yes,No,C P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sales_7.1_Candidate_NAS_Sample_Candidate.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sales_7.1_Detailed_NAS_Sample_Candidate.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sales_7.1_Interview_NAS_Sample_Candidate.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Precise_Fit_EntryLevel_Sales_Fact_Sheet.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Sales_-Sample_Detailed_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Sales_-Sample_Development_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Sales_-Sample_Interview_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Precise_Fit_EntryLevel_Sales_Fact_Sheet_CHS.pdf
Entry Level Technical Support Solution,Yes,No,P C,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Technical_Support_-_Interview_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Precise_Fit_EntryLevel_Tech_Fact_Sheet.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Technical_Support_-_Detailed_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Technical_Support_-_Development_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Precise_Fit_EntryLevel_Tech_Fact_Sheet_CHS.pdf
ETL Testing (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/ETL_Testing_(New).pdf
Executive Scenarios,Yes,No,B,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Executive_Scenarios_Fact_Sheet.pdf
Executive Scenarios Narrative Report,Yes,No,B,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Executive_Scenarios_Narrative_Report_English_International.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Executive_Scenarios_Narrative_Report_English_(US).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Executive_Scenarios_Narrative_Report_Italian.pdf
Executive Scenarios Profile Report,Yes,No,B,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Executive_Scenarios_-_Profile_English_International.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Executive_Scenarios_-_Profile_English_(US).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Executive_Scenarios_-_Profile_Italian.pdf
ExpressJS (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/ExpressJS_(New).pdf
Filing - Names (R1),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Filing_Names.pdf
Filing - Numbers,Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Filing_Numbers.pdf
Financial Accounting (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Financial_Accounting_(New).pdf
Financial and Banking Services (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Financial_and_Banking_Services_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Financial_and_Banking_Services_(New)_Sample_Report.pdf
Fire Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fire_Engineering_(New).pdf
Following Instructions v1 - UK (R1),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Following_Instructions_UKE.pdf
Following Instructions v1 - US (R2),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Following_Instructions.pdf
Food and Beverage Services (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Food_and_Beverage_Services_(New).pdf
Food Science (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Food_Science_(New).pdf
Front Office Management (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Front_Office_Management_(New).pdf
Fundamentals of Chemistry (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fundamentals_of_Chemistry_(New).pdf
Fundamentals of Physics (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fundamentals_of_Physics_(New).pdf
General Diseases (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/General_Diseases_(New).pdf
Geoinformatics Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Geoinformatics_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Geoinformatics_Engineering_(New)_Sample_Report.pdf
Geoscience Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Geoscience_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Geoscience_Engineering_(New)_Sample_Report.pdf
GIT (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/GIT_(New).pdf
Global Skills Assessment,Yes,No,C K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/GSA_Product_Fact_Sheet_USE.pdf
Graduate Scenarios,Yes,No,B,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Graduate_Scenarios_Fact_Sheet.pdf
Graduate Scenarios Narrative Report,Yes,No,B,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Graduate_Scenarios_Narrative_Report_Std_v2.0_English_International.pdf
Graduate Scenarios Profile Report,Yes,No,B,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Graduate_Scenarios_Profile_Std_v2.0_English_International.pdf
Hibernate (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Hibernate_(New).pdf
HIPAA (Security),Yes,Yes,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/BB_Fact_Sheet_HIPAA_Security.pdf
HiPo Assessment Report 1.0,Yes,No,C P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_English_International.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_NA_Spanish.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_English_(US).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_Chinese_Simplified.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_Dutch.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_French.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_German.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_Italian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/HiPo_Assessment_Report_-_Sample_Brazilian_Portuguese.pdf
HiPo Assessment Report 2.0,Yes,No,C P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_2.0_International_English_(2).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_2.0_Latin_American_Spanish.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/HiPo_Assessment_Report_2.0_Sample_English_US.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/HiPo_Assessment_Report_2.0_Sample_Chinese_Simplified.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_2.0_French.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_2.0_German.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_2.0_Italian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/HiPo_Assessment_Report_2.0_Sample_Thai.pdf
HiPo Unlocking Potential Report 2.0,Yes,No,C,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Unlocking_Potential_Report_2.0_International_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Unlocking_Potential_Report_2.0_LA_Spanish.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Unlocking_Potential_Report_2.0_US_English_(1).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Unlocking_Potential_Report_2.0_French.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Unlocking_Potential_Report_2.0_German.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Unlocking_Potential_Report_2.0_Italian_(1).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Unlocking_Potential_Report_2.0_Thai.pdf
Housekeeping (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Housekeeping_(New).pdf
HTML/CSS (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/HTML_CSS_(New).pdf
HTML5 (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/HTML5_(New).pdf
Human Resources (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Human_Resources_(New).pdf
IBM DataStage (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/IBM_DataStage_(New).pdf
IBM Sterling Order Management System (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/IBM_Sterling_Order_Management_System_(New).pdf
Industrial Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Industrial_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Industrial_Engineering_(New)_Sample_Report.pdf
Informatica (Architecture) (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Informatica_(Architecture)_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Informatica_(Architecture)_(New)_Sample_Report.pdf
Informatica (Developer) (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Informatica_(Developer)_(New).pdf
Instrumentation Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Instrumentation_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Instrumentation_Engineering_(New)_Sample_Report.pdf
Interpersonal Communications,Yes,Yes,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/BB_Fact_Sheet_InterpersonalCommunications.pdf
Interviewing and Hiring Concepts (U.S.),Yes,Yes,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/BB_Fact_Sheet_InterviewingandHiringConceptsUS.pdf
iOS Development (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/iOS_Development_(New).pdf
ITIL (IT Infrastructure Library) (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/ITIL_(Information_Technology_Infrastructure_Library)_(New).pdf
Java 2 Platform Enterprise Edition 1.4 Fundamental,Yes,Yes,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/BB_Fact_Sheet_J2EE1.4_Fundamentals.pdf
Java 8 (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Java_8_(New).pdf
Java Design Patterns (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Java_Design_Patterns_(New).pdf
Java Frameworks (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Java_Frameworks_(New).pdf
Java Platform Enterprise Edition 7 (Java EE 7),Yes,Yes,K,N/A
Java Web Services (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Java_Web_Services_(New).pdf
JavaScript (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/JavaScript_(New).pdf
Jenkins (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Jenkins_(New).pdf
Job Control Language (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Job_Control_Language_(New).pdf
jQuery (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/jQuery_(New).pdf
Kubernetes (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Kubernetes_(New).pdf
Linux Administration (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Linux_Administration_(New).pdf
Linux Operating System,Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Linux_Operating_System_US_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Linux_Operating_System_-_Technical_Manual_Supplement.pdf
Linux Programming (General),Yes,Yes,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/BB_Fact_Sheet_LinuxProgrammingGeneral.pdf
Load Runner (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/LoadRunner_(New).pdf
Management Scenarios,Yes,No,B,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenarios_Fact_Sheet.pdf
Managerial Scenarios Candidate Report,Yes,No,B,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenarios_(2012)_Candidate__Report_English_International.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenarios_(2012)_Candidate__Report_German.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenarios_(2012)_Candidate__Report_Romanian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenarios_(2012)_Candidate__Report_Russian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenarios_(2012)_Candidate__Report_Turkish.pdf
Managerial Scenarios Narrative Report,Yes,No,B,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenario_-_Report_English_International.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenario_-_Report_German.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenario_-_Report_Italian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenario_-_Report_Romanian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenario_-_Report_Russian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenario_-_Report_Turkish.pdf
Managerial Scenarios Profile Report,Yes,No,B,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenarios_(2012)_Profile_English_International.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenarios_(2012)_Profile_German.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenarios_(2012)_Profile_Italian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenarios_(2012)_Profile_Romanian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenarios_(2012)_Profile_Russian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Management_Scenarios_(2012)_Profile_Turkish.pdf
Manual Testing (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manual_Testing_(New).pdf
Manufac. & Indust. - Mechanical & Vigilance 8.0,Yes,No,A P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Mechanical_&_Vigilance_8.0_JFA_Candidate_Report_US_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Mechanical_&_Vigilance_8.0_JFA_Detailed_Report_US_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Mechanical_&_Vigilance_8.0_JFA_Inteview_Report_US_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_&_Industrial_-_Mechanical_&_Vigilance_Focus_8.0_JFA_Product_Fact_Sheet.pdf
Manufac. & Indust. - Safety & Dependability 8.0,Yes,No,P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_&_Industrial_-_Safety_&_Dependability_Focus_8.0_JFA_Product_Fact_Sheet.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Safety_&_Dependability_8.0_JFA_Detailed_Report_US_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Safety_&_Dependability_8.0_JFA_Interview_Report_US_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Safety_&_Dependability_8.0_JFA_Safety_&_Dependability_Candidate_Report_US_English.pdf
Manufacturing & Industrial - Essential Focus 8.0,Yes,No,P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_&_Industrial_-_Essential_Focus_8.0_JFA_Product_Fact_Sheet.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Essential_8.0_JFA_Candidate_Report_US_English_(1).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Essential_8.0_JFA_Detailed_Report_US_English_(1).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Essential_8.0_JFA_Interview_Report_US_English_(1).pdf
Manufacturing & Industrial - Mechanical Focus 8.0,Yes,No,A P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_&_Industrial_-_Mechanical_Focus_8.0_JFA_Product_Fact_Sheet.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Mechanical_8.0_JFA_Candidate_Report_US_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Mechanical_8.0_JFA_Interview_Report_US_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Mechanical_8.0_JFA_Mechanical_Detailed_Report_US_English.pdf
Manufacturing & Industrial - Vigilance Focus 8.0,Yes,No,A P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Vigilance_8.0_JFA_Candidate_Report_US_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Vigilance_8.0_JFA_Detailed_Report_US_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_Industrial_Vigilance_8.0_JFA_Interview_Report_US_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Manufacturing_&_Industrial_-_Vigilance_Focus_8.0_JFA_Product_Fact_Sheet.pdf
Marketing (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Marketing_(New).pdf
Maven (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Maven_(New).pdf
Mechanical Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Mechanical_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Mechanical_Engineering_(New)_Sample_Report.pdf
Mechatronics Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Mechatronics_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Mechatronics_Engineering_(New)_Sample_Report.pdf
Medical Terminology (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Medical_Terminology_(New).pdf
Metallurgical Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Metallurgical_Engineering_(New).pdf
MFS 360 Enterprise Leadership Report,Yes,No,D,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/EL_360_UKEnglish_Sample_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/EL_360_USEnglish_Sample_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/EL_360_ChineseSimplified_Sample_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/EL_360_Dutch_Sample_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/EL_360_French_Sample_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/EL_360_German_Sample_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/EL_360_Italian_Sample_Report.pdf
MFS 360 UCF Group Report,Yes,No,D,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Group_Report_UKE.pdf
MFS 360 UCF Performance Potential Dev Tips Report,Yes,No,D,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_UKE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_CanFR.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_SpaLA.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_USE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_CN.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_IND.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_JP.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_KOR.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_CZ.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_DK.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_NL.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_FIN.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_FR.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_DE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_HU.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_IT.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_NO.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_POL.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_POR.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_RUS.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_SP.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_SE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_TUR.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_IC.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_BrPOR.pdf
