Solution Name,Description,Job Levels,Languages,Assessment Length,Remote Testing,Adaptive/IRT,Test Type,Detail URL,PDF Paths
HIPAA (Security),"The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to HIPAA. Designed for healthcare professionals and concentrating on nontechnical as well as technical aspects of the HIPAA Standards for Security and Electronic Signatures, this test covers the following topics: Computer Mechanisms, Computer Models, General Knowledge, Implementation, Medical Records, Organization, Security Basics, and Setup","Front Line Manager, Manager",English (USA),15,Yes,Yes,K,https://www.shl.com/solutions/products/product-catalog/view/hipaa-security/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/BB_Fact_Sheet_HIPAA_Security.pdf
HTML/CSS (New),Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it,"Mid-Professional, Professional Individual Contributor",English (USA),12,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/HTML_CSS_(New).pdf
HTML5 (New),Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface,"Mid-Professional, Professional Individual Contributor",English (USA),11,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/html5-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/HTML5_(New).pdf
HiPo Assessment Report 1.0,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development",N/A,N/A,N/A,Yes,No,C P,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_English_International.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_NA_Spanish.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_English_(US).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_Chinese_Simplified.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_Dutch.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_French.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_German.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_Std_v2.0_Italian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/HiPo_Assessment_Report_-_Sample_Brazilian_Portuguese.pdf
HiPo Assessment Report 2.0,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This report equips organizations with data-driven insights for identifying and developing future leaders, helping to ensure long-term organizational success",N/A,N/A,N/A,Yes,No,C P,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_2.0_International_English_(2).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_2.0_Latin_American_Spanish.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/HiPo_Assessment_Report_2.0_Sample_English_US.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/HiPo_Assessment_Report_2.0_Sample_Chinese_Simplified.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_2.0_French.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_2.0_German.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/High-Potential_Assessment_Report_2.0_Italian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/HiPo_Assessment_Report_2.0_Sample_Thai.pdf
HiPo Unlocking Potential Report 2.0,"This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial and leadership potential",N/A,N/A,N/A,Yes,No,C,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Unlocking_Potential_Report_2.0_International_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Unlocking_Potential_Report_2.0_LA_Spanish.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Unlocking_Potential_Report_2.0_US_English_(1).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Unlocking_Potential_Report_2.0_French.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Unlocking_Potential_Report_2.0_German.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Unlocking_Potential_Report_2.0_Italian_(1).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Unlocking_Potential_Report_2.0_Thai.pdf
Hibernate (New),"Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL)","Mid-Professional, Professional Individual Contributor",English (USA),5,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/hibernate-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Hibernate_(New).pdf
Housekeeping (New),"Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks","Entry-Level, Front Line Manager, Supervisor",English (USA),7,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Housekeeping_(New).pdf
Human Resources (New),"Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal, compensation management, etc. It also evaluates the candidate’s understanding of organizational behavior in different organizational structures","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),8,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Human_Resources_(New).pdf
IBM DataStage (New),"Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director","Mid-Professional, Professional Individual Contributor",English (USA),15,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/IBM_DataStage_(New).pdf
IBM Sterling Order Management System (New),"Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc","Mid-Professional, Professional Individual Contributor",English (USA),13,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/IBM_Sterling_Order_Management_System_(New).pdf
ITIL (IT Infrastructure Library) (New),"Multi-choice test that measures the knowledge of capacity management, change management and problem management","Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),8,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/ITIL_(Information_Technology_Infrastructure_Library)_(New).pdf
Industrial Engineering (New),"Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),9,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Industrial_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Industrial_Engineering_(New)_Sample_Report.pdf
Informatica (Architecture) (New),"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica","Mid-Professional, Professional Individual Contributor",English (USA),10,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Informatica_(Architecture)_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Informatica_(Architecture)_(New)_Sample_Report.pdf
Informatica (Developer) (New),"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica","Mid-Professional, Professional Individual Contributor",English (USA),11,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Informatica_(Developer)_(New).pdf
Instrumentation Engineering (New),"Multi-choice test that measures the conceptual knowledge of instrumentation, electronics, signals and communication systems","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/instrumentation-engineering-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Instrumentation_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Instrumentation_Engineering_(New)_Sample_Report.pdf
Interpersonal Communications,"This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts. It is designed for all professionals and covers the following topics: Communication and Perception, Group Communication and Teamwork, Intercultural Communication, Interpersonal Communication, Interviewing and Communication, Intrapersonal Communication, Listening, Nonverbal Communication, Technology in Communication, Verbal Communication, and Language","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),15,Yes,Yes,K,https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/BB_Fact_Sheet_InterpersonalCommunications.pdf
Interviewing and Hiring Concepts (U.S.),"The Interviewing and Hiring Concepts (U.S.) test measures knowledge of the interviewing  and hiring process. Designed for all employees and hiring managers, this test covers the following topics: Behavior Traits, Behavioral Interviewing, Candidate Fit, Interview Quality Control, Job Analysis, Legal Compliance, Probing Skills, Screening, Situational Interviews, and Types of Interviews","Front Line Manager, Manager",English (USA),15,Yes,Yes,K,https://www.shl.com/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/BB_Fact_Sheet_InterviewingandHiringConceptsUS.pdf
Java 2 Platform Enterprise Edition 1.4 Fundamental,"The Java 2 Platform Enterprise Edition (J2EE) 1.4 Fundamentals test measures knowledge of basic J2EE 1.4 Fundamentals. Designed for entry-level users, this test covers the following topics: Business Component Development, J2EE 1.4 Architecture, JAX 1.2, JDBC 3.0, Supporting API, Web Component Development, and Web Service Development","Entry-Level, Mid-Professional, Professional Individual Contributor",English (USA),30,Yes,Yes,K,https://www.shl.com/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/BB_Fact_Sheet_J2EE1.4_Fundamentals.pdf
Java 8 (New),"Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals","Mid-Professional, Professional Individual Contributor",English (USA),18,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Java_8_(New).pdf
Java Design Patterns (New),Multi-choice test that measures the knowledge of the types of design patterns in Java and principles like threads and refactoring used in Java design patterns,"Mid-Professional, Professional Individual Contributor",English (USA),5,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/java-design-patterns-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Java_Design_Patterns_(New).pdf
Java Frameworks (New),"Multi-choice test that measures the knowledge of different Java frameworks - Struts, Hibernate and Spring","Mid-Professional, Professional Individual Contributor",English (USA),17,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/java-frameworks-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Java_Frameworks_(New).pdf
Java Platform Enterprise Edition 7 (Java EE 7),"The Java Platform Enterprise Edition 7 (Java EE 7) test measures knowledge of the Java EE 7 architecture. Designed for Java programmers and architects, this test includes the following topics: Commonly-Used APIs, Component Technology, Database Access, JEE Application Architecture, JSP Extensions, Resource Management, Web Services, Webapp Control and View Technologies, and Webapp Technology","Mid-Professional, Professional Individual Contributor",English (USA),30,Yes,Yes,K,https://www.shl.com/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,N/A
Java Web Services (New),"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generics and inner class","Mid-Professional, Professional Individual Contributor",English (USA),8,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/java-web-services-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Java_Web_Services_(New).pdf
JavaScript (New),Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development,"Mid-Professional, Professional Individual Contributor",English (USA),9,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/JavaScript_(New).pdf
Jenkins (New),"Multi-choice test that measures the knowledge of Jenkins configuration and deployment, plugins, nodes, build jobs and testing","Mid-Professional, Professional Individual Contributor",English (USA),6,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/jenkins-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Jenkins_(New).pdf
Job Control Language (New),"Multi-choice test that measures the knowledge of JCL libraries, parameters, statements, datasets, generation of data groups and conditional processing","Mid-Professional, Professional Individual Contributor",English (USA),10,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/job-control-language-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Job_Control_Language_(New).pdf
Kubernetes (New),"Multi-choice test that measures the knowledge of the architecture, cluster and services of Kubernetes","Mid-Professional, Professional Individual Contributor",English (USA),6,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/kubernetes-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Kubernetes_(New).pdf
Linux Administration (New),Multi-choice test that measures knowledge of the Linux operating system and its application in system administration and network administration,"Mid-Professional, Professional Individual Contributor",English (USA),10,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/linux-administration-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Linux_Administration_(New).pdf
Linux Operating System,"Multi-choice test that measures the knowledge of Linux system, command line, filesystem, memory management, and process management","Entry-Level, General Population, Graduate, Professional Individual Contributor",English (USA),15,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/linux-operating-system/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Linux_Operating_System_US_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Linux_Operating_System_-_Technical_Manual_Supplement.pdf
Linux Programming (General),"The Linux Programming (General) test measures knowledge of programming in a Linux environment. Designed for experienced programmers, this test covers the following topics: AutoConf/AutoMake, Makefiles, C Programming, C++, Debugging Programs, Linux Programming Concepts, Platform Independence, Revision Control, RPC/CORBA, and X Programming","Mid-Professional, Professional Individual Contributor",English (USA),25,Yes,Yes,K,https://www.shl.com/solutions/products/product-catalog/view/linux-programming-general/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/BB_Fact_Sheet_LinuxProgrammingGeneral.pdf
Load Runner (New),"Multi-choice test that measures the knowledge on the concepts of Load Runner architecture & installation, virtual user generator (VUGEN), controller, monitoring scenario and result analysis","Mid-Professional, Professional Individual Contributor",English (USA),6,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/load-runner-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/LoadRunner_(New).pdf
MFS 360 Enterprise Leadership Report,"The layout of this report follows the standard MFS 360 report but this is based on the Enterprise Leadership competency model, not the UCF model. The report text has been updated as well to reflect that",N/A,N/A,N/A,Yes,No,D,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/EL_360_UKEnglish_Sample_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/EL_360_USEnglish_Sample_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/EL_360_ChineseSimplified_Sample_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/EL_360_Dutch_Sample_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/EL_360_French_Sample_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/EL_360_German_Sample_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/EL_360_Italian_Sample_Report.pdf
MFS 360 UCF Group Report,"This report follows the standard layout of the 360 report but incorporates the average scores for a group of participants. The report can be generated for all participants on a project, or a dedicated group can be created in MFS for a group that includes participants across multiple projects. The report does not include the open questions even when they were part of the questionnaire. Developments tips are not available in this report",N/A,N/A,N/A,Yes,No,D,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Group_Report_UKE.pdf
MFS 360 UCF Performance Potential Dev Tips Report,"This report is more or less identical to the standard MFS report but with an additional section that looks at the performance versus the potential and plots the competencies on a four field grid to identify developed strengths, natural strengths, development need, or untapped potential.  The report text has been updated to reflect the inclusion of the OPQ, and the potential is also shown in the competency summary part of the report. The OPQ scores that feed into this report will need to be uploaded into MFS using an upload sheet based on a score extract from SODA or TC. This particular example report also includes development tips which are an optional extra",N/A,N/A,N/A,Yes,No,D,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_UKE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_CanFR.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_SpaLA.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_USE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_CN.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_IND.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_JP.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_KOR.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_CZ.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_DK.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_NL.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_FIN.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_FR.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_DE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_HU.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_IT.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_NO.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_POL.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_POR.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_RUS.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_SP.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_SE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_TUR.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_IC.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_PandPwithDevTips_BrPOR.pdf
MFS 360 UCF Standard Report,"This is the default MFS report. It is based on the UCF20 competency model. The report will only show those scales that were selected as part of the questionnaire setup. The importance rating, open questions and multiple choice questions are optional parts of the questionnaire. Only if those parts were added to the questionnaire will they show in the report. Open and multiple Choice questions are of the clients’ own design. The example report here does not include developments tips, but those can be added if requested (see performance and potential report for examples of that)",N/A,N/A,N/A,Yes,No,D,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-standard-report/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_UKE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_CanFR.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_SpaLA.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_USE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_CN.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_IND.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_JP.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_KO.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_CZ.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_DK.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_NL.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_FIN.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_FR.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_DE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_HU.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_IT.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report._Standard_NO.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_POL.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_POR.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_RUS.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_SERB.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_SP.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_SE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_TUR.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_IC.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MFS_Sample_Report_Standard_BrPOR.pdf
MQ Candidate Motivation Report,The Candidate Motivation Report is designed as a feedback report for the individual. It provides an in-depth and easy-to-understand evaluation of an individuals motivators and demotivators at work,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English International, English (USA), Chinese Simplified",N/A,Yes,No,P,https://www.shl.com/solutions/products/product-catalog/view/mq-candidate-motivation-report/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MQ_Candidate_Motivation_Report_Std_v2.0_English_International.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MQ_Candidate_Motivation_Report_Std_v2.0_English_(US).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MQ_Candidate_Motivation_Report_Std_v2.0_Chinese_Simplified.pdf
MQ Employee Motivation Report,"The MQ Employee Motivation Report is ideal for use by line managers and those concerned with employee’s performance and well being, the Employee Motivation Report provides an in-depth and easy-to-understand evaluation of what motivates and de-motivates someone. It also offers a comprehensive list of tips and suggestions for managing the employee’s strongest motivators and demotivators","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Chinese Simplified, English International, English (USA)",N/A,Yes,No,P,https://www.shl.com/solutions/products/product-catalog/view/mq-employee-motivation-report/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MQ_Employee_Motivation_Report_Std_v2.0_English_International.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MQ_Employee_Motivation_Report_Std_v2.0_English_(US).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MQ_Employee_Motivation_Report_Std_v2.0_Chinese_Simplified.pdf.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MQ_Employee_Motivation_Report_Czech.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/MQ.M5_Employee_Motivation_Report_Serbian.pdf
